env,trial #,success,avg,directory: openpi-eval/ranking_towel_pi05
towel centred,1,1,0.975,
towel low,2,1,,
towel high,3,1,,
towel shifted left,4,1,,
towel shifted right,5,1,,
rotated right,6,1,,
rotated left,7,1,,
towel centred,8,1,,
towel centred,9,1,,
towel centred,10,1,,
CLS,11,1,,
BCR,12,1,,
CRR,13,1,,
BLS,14,1,,
TLR,15,1,,
BCR,16,1,,
TLS,17,1,,
TLR,18,1,,
BRL,19,1,,
TRS,20,1,,
BCL,21,1,,
BRL,22,0.5,,
CCS,23,1,,
CRR,24,1,,
BRL,25,1,,
TCS,26,1,,
TCL,27,0.75,,
CCS,28,1,,
TCR,29,1,,
BLS,30,1,,
CLS,31,1,,
BRS,32,1,,
CCS,33,1,,
TCS,34,1,,
BCS,35,1,,
CCL,36,1,,
CCS,37,1,,
TLR,38,1,,
BRL,39,0.75,,
TCL,40,1,,
CCL,41,1,,
CLL,42,1,,
CRR,43,1,,
TLS,44,1,,
TCS,45,1,,
TCL,46,0.75,,
BLS,47,1,,
CCS,48,1,,
CCL,49,1,,
BLR,50,1,,