env,trial #,success,avg,first video: dppo outputs -> 2026_05_25_2/1,,metric:
towel centred,1,0,0.4566666667,last video: dppo outputs -> 2026_05_25_2/10,,0 - completely misses / no relevant behaviour
towel low,2,0.5,,,,0.25 - gets hold of towel fails to begin fold (e.g immediately drops or pushes instead of folding) OR begins fold from weird spot (e.g centre)
towel high,3,1,  ,,,0.5 - begins folding / lifts towel (but drops or fails to complete)
towel shifted left,4,1,,,,0.75 - bad fold
towel shifted right,5,0,,,,1 - good fold
rotated right,6,0,,,,
rotated left,7,1,,,,
towel centred,8,1,,,,
towel centred,9,1,,,,
towel centred,10,0,,,,
CLS,11,0,,,,
BCR,12,0,,,,
CRR,13,0,,,,
BLS,14,0,,,,
TLR,15,0,,,,
BCR,16,0,,,,
TLS,17,0,,,,
TLR,18,1,,,,
BRL,19,0,,,,
TRS,20,0.75,,,,
BCL,21,1,,,,
BRL,22,0,,,,
CCS,23,1,,,,
CRR,24,0.75,,,,
BRL,25,0.5,,,,
TCS,26,0.75,,,,
TCL,27,1,,,,
CCS,28,1,,,,
TCR,29,0.75,,,,
BLS,30,0,,,,
CLS,31,0,,,,
BRS,32,0,,,,
CCS,33,1,,,,
TCS,34,0.75,,,,
BCS,35,0.75,,,,
CCL,36,0.5,,,,
CCS,37,0.75,,,,
TLR,38,0,,,,
BRL,39,0,,,,
TCL,40,1,,,,
CCL,41,0.5,,,,
CLL,42,0,,,,
CRR,43,0,,,,
TLS,44,0.75,,,,
TCS,45,0.75,,,,
TCL,46,1,,,,
BLS,47,0,,,,
CCS,48,0,,,,
CCL,49,0.75,,,,
BLR,50,0,,,,
TRS,51,0.75,,,,
BCS,52,0.75,,,,
CCR,53,0.75,,,,
BRS,54,0,,,,
BRS,55,0.5,,,,
TLR,56,0,,,,
CLS,57,0,,,,
BCL,58,1,,,,
BCS,59,0.75,,,,
TCS,60,0.75,,,,
TCS,61,0.75,,,,
TCR,62,0.75,,,,
TCR,63,0.75,,,,
BLL,64,0,,,,
TLR,65,0,,,,
CCR,66,0.75,,,,
BRS,67,0.5,,,,
TRL,68,0.75,,,,
TLR,69,0.75,,,,
CRS,70,0,,,,
CCR,71,0.75,,,,
TLS,72,0,,,,
CLS,73,0,,,,
TCR,74,0.75,,,,
TRR,75,0,,,,