env,trial #,success,avg,first video: dppo outputs -> 2026_05_25_7/1
towel centred,1,0.5,0.04,last video: dppo outputs -> 2026_05_25_7/10
towel low,2,0,,
towel high,3,0,,
towel shifted left,4,0,,
towel shifted right,5,0,,
rotated right,6,0,,
rotated left,7,0,,
towel centred,8,0,,
towel centred,9,0,,
towel centred,10,0.5,,
CLS,11,0,,
BCR,12,0,,
CRR,13,0,,
BLS,14,0,,
TLR,15,0,,
BCR,16,0,,
TLS,17,0,,
TLR,18,0,,
BRL,19,0,,
TRS,20,0,,
BCL,21,0,,
BRL,22,0,,
CCS,23,0,,
CRR,24,0,,
BRL,25,0,,
TCS,26,,,
TCL,27,,,
CCS,28,,,
TCR,29,,,
BLS,30,,,
CLS,31,,,
BRS,32,,,
CCS,33,,,
TCS,34,,,
BCS,35,,,
CCL,36,,,
CCS,37,,,
TLR,38,,,
BRL,39,,,
TCL,40,,,
CCL,41,,,
CLL,42,,,
CRR,43,,,
TLS,44,,,
TCS,45,,,
TCL,46,,,
BLS,47,,,
CCS,48,,,
CCL,49,,,
BLR,50,,,