preferred_policy,non_preferred_policy
pi0_droid,paligemma_vq_droid
paligemma_vq_droid,pi0_droid
pi0_fast_droid,paligemma_fast_droid
pi0_droid,pi0_fast_droid
pi0_fast_droid,paligemma_diffusion_droid
pi0_droid,paligemma_fast_specialist_droid
paligemma_vq_droid,paligemma_fast_droid
paligemma_fast_droid,pi0_droid
paligemma_fast_specialist_droid,pi0_fast_droid
pi05_droid,pi0_droid
pi0_fast_droid,paligemma_vq_droid
paligemma_fast_droid,paligemma_binning_droid
paligemma_fast_droid,paligemma_binning_droid
paligemma_vq_droid,paligemma_fast_specialist_droid
paligemma_fast_droid,paligemma_diffusion_droid
paligemma_fast_specialist_droid,paligemma_binning_droid
paligemma_vq_droid,pi0_droid
paligemma_vq_droid,paligemma_fast_specialist_droid
pi0_fast_droid,paligemma_diffusion_droid
paligemma_diffusion_droid,pi0_fast_droid
pi0_fast_droid,paligemma_fast_specialist_droid
paligemma_fast_droid,pi0_fast_droid
pi05_droid,paligemma_binning_droid
pi0_droid,pi05_droid
pi0_droid,pi0_fast_droid
paligemma_fast_droid,paligemma_vq_droid
paligemma_fast_droid,pi0_fast_droid
paligemma_binning_droid,pi0_fast_droid
paligemma_fast_droid,pi0_fast_droid
paligemma_vq_droid,paligemma_binning_droid
pi0_droid,paligemma_vq_droid
paligemma_vq_droid,paligemma_binning_droid
pi05_droid,paligemma_diffusion_droid
pi0_droid,pi0_fast_droid
pi0_fast_droid,paligemma_diffusion_droid
paligemma_diffusion_droid,paligemma_fast_specialist_droid
pi0_fast_droid,pi05_droid
pi0_fast_droid,paligemma_fast_specialist_droid
paligemma_vq_droid,paligemma_fast_specialist_droid
paligemma_vq_droid,pi0_fast_droid
paligemma_vq_droid,paligemma_diffusion_droid
paligemma_diffusion_droid,paligemma_binning_droid
paligemma_fast_droid,pi0_droid
pi0_fast_droid,paligemma_binning_droid
paligemma_diffusion_droid,paligemma_fast_droid
paligemma_fast_specialist_droid,pi0_fast_droid
paligemma_fast_specialist_droid,pi0_droid
paligemma_diffusion_droid,paligemma_fast_droid
pi0_droid,pi0_fast_droid
paligemma_fast_droid,paligemma_binning_droid
paligemma_fast_specialist_droid,paligemma_fast_droid
pi0_fast_droid,pi05_droid
paligemma_fast_droid,paligemma_binning_droid
pi0_fast_droid,pi0_droid
pi0_fast_droid,paligemma_binning_droid
paligemma_binning_droid,paligemma_fast_specialist_droid
pi05_droid,pi0_fast_droid
pi05_droid,paligemma_binning_droid
paligemma_fast_droid,paligemma_vq_droid
paligemma_diffusion_droid,paligemma_binning_droid
pi0_fast_droid,pi0_droid
paligemma_vq_droid,paligemma_diffusion_droid
pi0_fast_droid,paligemma_binning_droid
paligemma_diffusion_droid,pi0_droid
paligemma_fast_specialist_droid,pi0_droid
pi0_droid,paligemma_binning_droid
paligemma_fast_specialist_droid,paligemma_diffusion_droid
paligemma_fast_droid,paligemma_diffusion_droid
paligemma_fast_specialist_droid,paligemma_diffusion_droid
paligemma_vq_droid,pi0_fast_droid
paligemma_fast_droid,paligemma_binning_droid
paligemma_fast_droid,paligemma_binning_droid
paligemma_fast_specialist_droid,pi0_droid
paligemma_diffusion_droid,paligemma_binning_droid
paligemma_diffusion_droid,paligemma_binning_droid
pi0_fast_droid,paligemma_binning_droid
paligemma_fast_droid,paligemma_binning_droid
paligemma_fast_specialist_droid,pi0_droid
paligemma_diffusion_droid,paligemma_vq_droid
paligemma_fast_droid,pi0_droid
paligemma_vq_droid,paligemma_binning_droid
paligemma_diffusion_droid,paligemma_binning_droid
pi0_droid,paligemma_fast_droid
pi0_droid,paligemma_binning_droid
paligemma_fast_specialist_droid,pi0_droid
paligemma_fast_specialist_droid,paligemma_fast_droid
pi0_fast_droid,paligemma_binning_droid
paligemma_fast_droid,paligemma_fast_specialist_droid
paligemma_vq_droid,paligemma_binning_droid
paligemma_fast_specialist_droid,paligemma_binning_droid
pi0_droid,paligemma_fast_droid
paligemma_fast_specialist_droid,paligemma_diffusion_droid
paligemma_fast_specialist_droid,paligemma_diffusion_droid
paligemma_diffusion_droid,pi05_droid
pi0_fast_droid,paligemma_binning_droid
paligemma_diffusion_droid,paligemma_fast_droid
paligemma_fast_specialist_droid,paligemma_binning_droid
paligemma_fast_droid,pi0_fast_droid
paligemma_fast_droid,pi0_droid
pi0_fast_droid,paligemma_binning_droid
pi0_droid,paligemma_binning_droid
paligemma_diffusion_droid,paligemma_binning_droid
pi0_droid,paligemma_binning_droid
paligemma_vq_droid,pi0_fast_droid
pi0_fast_droid,paligemma_fast_specialist_droid
paligemma_fast_specialist_droid,paligemma_diffusion_droid
pi0_fast_droid,pi0_droid
paligemma_diffusion_droid,paligemma_fast_droid
pi0_droid,paligemma_fast_specialist_droid
pi0_fast_droid,paligemma_fast_droid
paligemma_fast_specialist_droid,pi0_fast_droid
paligemma_diffusion_droid,paligemma_fast_droid
paligemma_fast_droid,paligemma_diffusion_droid
paligemma_binning_droid,paligemma_vq_droid
paligemma_fast_droid,pi0_fast_droid
paligemma_fast_specialist_droid,paligemma_binning_droid
paligemma_vq_droid,paligemma_diffusion_droid
pi0_droid,paligemma_vq_droid
paligemma_vq_droid,paligemma_fast_specialist_droid
paligemma_vq_droid,pi0_fast_droid
paligemma_vq_droid,paligemma_fast_droid
pi0_fast_droid,paligemma_fast_specialist_droid
paligemma_vq_droid,paligemma_diffusion_droid
pi0_droid,paligemma_binning_droid
paligemma_fast_droid,pi0_droid
pi0_droid,pi0_fast_droid
pi05_droid,pi0_droid
paligemma_vq_droid,pi0_fast_droid
pi05_droid,paligemma_vq_droid
pi05_droid,paligemma_vq_droid
pi05_droid,pi0_fast_droid
pi0_droid,paligemma_fast_specialist_droid
pi0_droid,paligemma_binning_droid
paligemma_diffusion_droid,paligemma_binning_droid
pi0_fast_droid,paligemma_fast_droid
paligemma_fast_specialist_droid,paligemma_fast_droid
pi0_fast_droid,paligemma_binning_droid
pi05_droid,pi0_droid
paligemma_fast_specialist_droid,paligemma_binning_droid
paligemma_fast_droid,pi0_droid
pi0_fast_droid,paligemma_binning_droid
paligemma_fast_specialist_droid,pi0_droid
paligemma_vq_droid,paligemma_binning_droid
paligemma_vq_droid,paligemma_fast_droid
paligemma_diffusion_droid,paligemma_fast_specialist_droid
paligemma_fast_droid,pi0_droid
paligemma_vq_droid,paligemma_diffusion_droid
paligemma_fast_droid,paligemma_fast_specialist_droid
pi0_fast_droid,pi0_droid
paligemma_fast_droid,pi0_droid
paligemma_fast_specialist_droid,pi0_fast_droid
paligemma_diffusion_droid,pi0_droid
paligemma_fast_droid,pi0_fast_droid
paligemma_vq_droid,paligemma_fast_specialist_droid
paligemma_fast_specialist_droid,paligemma_binning_droid
pi0_droid,paligemma_vq_droid
paligemma_fast_specialist_droid,paligemma_fast_droid
pi0_droid,paligemma_fast_droid
pi0_fast_droid,pi0_droid
paligemma_vq_droid,paligemma_fast_specialist_droid
pi05_droid,paligemma_binning_droid
paligemma_vq_droid,pi0_droid
pi0_fast_droid,paligemma_diffusion_droid
paligemma_fast_specialist_droid,paligemma_vq_droid
paligemma_diffusion_droid,pi0_fast_droid
paligemma_fast_specialist_droid,pi0_droid
pi0_fast_droid,paligemma_binning_droid
pi0_fast_droid,paligemma_vq_droid
paligemma_fast_droid,paligemma_binning_droid
paligemma_fast_droid,pi0_droid
paligemma_vq_droid,paligemma_fast_specialist_droid
paligemma_fast_specialist_droid,paligemma_vq_droid
pi0_fast_droid,paligemma_binning_droid
paligemma_fast_specialist_droid,pi0_droid
paligemma_fast_specialist_droid,paligemma_binning_droid
paligemma_fast_droid,paligemma_fast_specialist_droid
paligemma_vq_droid,pi0_fast_droid
paligemma_vq_droid,pi0_droid
paligemma_vq_droid,paligemma_diffusion_droid
paligemma_fast_specialist_droid,paligemma_diffusion_droid
paligemma_fast_droid,paligemma_binning_droid
paligemma_fast_droid,paligemma_binning_droid
paligemma_fast_specialist_droid,paligemma_binning_droid
paligemma_diffusion_droid,paligemma_binning_droid
paligemma_vq_droid,paligemma_binning_droid
pi0_droid,paligemma_fast_droid
paligemma_diffusion_droid,paligemma_binning_droid
paligemma_diffusion_droid,paligemma_vq_droid
paligemma_diffusion_droid,paligemma_fast_specialist_droid
paligemma_fast_specialist_droid,pi0_fast_droid
pi05_droid,pi0_droid
paligemma_vq_droid,paligemma_fast_droid
paligemma_vq_droid,paligemma_fast_specialist_droid
paligemma_fast_droid,paligemma_vq_droid
pi0_droid,paligemma_binning_droid
paligemma_diffusion_droid,pi0_fast_droid
paligemma_diffusion_droid,pi0_fast_droid
paligemma_fast_droid,paligemma_fast_specialist_droid
pi0_fast_droid,pi0_droid
paligemma_vq_droid,pi0_fast_droid
paligemma_diffusion_droid,paligemma_fast_specialist_droid
paligemma_fast_specialist_droid,paligemma_binning_droid
paligemma_fast_droid,pi0_droid
pi0_droid,paligemma_fast_droid
pi0_fast_droid,paligemma_fast_specialist_droid
pi05_droid,pi0_droid
paligemma_diffusion_droid,paligemma_vq_droid
pi0_fast_droid,paligemma_binning_droid
pi0_fast_droid,paligemma_fast_droid
paligemma_fast_droid,paligemma_binning_droid
paligemma_vq_droid,paligemma_binning_droid
pi0_droid,pi0_fast_droid
pi05_droid,paligemma_fast_droid
paligemma_vq_droid,paligemma_diffusion_droid
paligemma_fast_specialist_droid,paligemma_diffusion_droid
paligemma_diffusion_droid,paligemma_fast_droid
paligemma_diffusion_droid,pi0_fast_droid
paligemma_vq_droid,pi0_droid
paligemma_diffusion_droid,pi0_droid
paligemma_fast_specialist_droid,paligemma_vq_droid
paligemma_fast_specialist_droid,paligemma_vq_droid
pi0_fast_droid,paligemma_binning_droid
pi0_fast_droid,pi0_droid
paligemma_fast_specialist_droid,paligemma_binning_droid
paligemma_fast_droid,paligemma_fast_specialist_droid
paligemma_diffusion_droid,pi0_fast_droid
pi0_fast_droid,paligemma_vq_droid
pi0_fast_droid,paligemma_fast_droid
paligemma_vq_droid,paligemma_binning_droid
pi0_droid,paligemma_binning_droid
paligemma_fast_specialist_droid,paligemma_diffusion_droid
paligemma_diffusion_droid,pi0_droid
paligemma_fast_droid,pi0_droid
pi0_fast_droid,pi05_droid
pi0_fast_droid,paligemma_binning_droid
paligemma_diffusion_droid,paligemma_fast_specialist_droid
paligemma_fast_specialist_droid,pi0_droid
paligemma_fast_droid,pi0_fast_droid
paligemma_fast_droid,paligemma_binning_droid
pi0_fast_droid,paligemma_vq_droid
paligemma_fast_droid,paligemma_fast_specialist_droid
paligemma_vq_droid,paligemma_fast_droid
pi0_droid,paligemma_binning_droid
pi0_fast_droid,paligemma_fast_droid
paligemma_diffusion_droid,paligemma_fast_droid
paligemma_fast_droid,paligemma_binning_droid
pi0_droid,paligemma_binning_droid
paligemma_fast_droid,paligemma_binning_droid
pi0_droid,pi0_fast_droid
paligemma_diffusion_droid,paligemma_vq_droid
paligemma_vq_droid,paligemma_binning_droid
paligemma_fast_droid,paligemma_binning_droid
paligemma_fast_specialist_droid,paligemma_diffusion_droid
paligemma_vq_droid,pi0_fast_droid
paligemma_fast_droid,pi0_droid
pi0_fast_droid,paligemma_vq_droid
pi0_fast_droid,paligemma_fast_droid
pi0_fast_droid,paligemma_binning_droid
pi0_droid,paligemma_fast_specialist_droid
paligemma_fast_droid,pi0_droid
paligemma_fast_droid,paligemma_binning_droid
pi0_fast_droid,paligemma_fast_droid
paligemma_diffusion_droid,pi0_fast_droid
pi0_droid,paligemma_binning_droid
pi0_droid,paligemma_diffusion_droid
paligemma_vq_droid,paligemma_binning_droid
pi0_fast_droid,paligemma_diffusion_droid
paligemma_fast_droid,paligemma_fast_specialist_droid
paligemma_diffusion_droid,paligemma_binning_droid
paligemma_fast_droid,paligemma_diffusion_droid
pi0_droid,paligemma_vq_droid
paligemma_vq_droid,paligemma_diffusion_droid
paligemma_fast_specialist_droid,paligemma_binning_droid
pi0_droid,paligemma_binning_droid
pi0_fast_droid,pi0_droid
pi0_droid,paligemma_diffusion_droid
paligemma_vq_droid,pi0_droid
pi05_droid,paligemma_fast_droid
pi0_droid,pi0_fast_droid
paligemma_binning_droid,pi0_droid
paligemma_fast_specialist_droid,paligemma_binning_droid
paligemma_diffusion_droid,pi0_droid
pi0_fast_droid,paligemma_fast_specialist_droid
paligemma_fast_droid,paligemma_binning_droid
paligemma_fast_specialist_droid,pi0_fast_droid
paligemma_diffusion_droid,paligemma_vq_droid
paligemma_diffusion_droid,pi0_fast_droid
pi0_droid,paligemma_binning_droid
pi0_fast_droid,pi0_droid
pi0_fast_droid,paligemma_binning_droid
pi0_fast_droid,paligemma_fast_specialist_droid
paligemma_fast_specialist_droid,paligemma_diffusion_droid
pi0_fast_droid,paligemma_diffusion_droid
paligemma_diffusion_droid,pi0_fast_droid
paligemma_fast_droid,paligemma_binning_droid
paligemma_vq_droid,paligemma_fast_droid
paligemma_vq_droid,pi0_droid
paligemma_fast_specialist_droid,pi0_fast_droid
paligemma_vq_droid,pi0_fast_droid
paligemma_diffusion_droid,paligemma_binning_droid
pi0_fast_droid,pi0_droid
paligemma_diffusion_droid,pi0_droid
pi0_fast_droid,pi0_droid
paligemma_fast_droid,paligemma_diffusion_droid
pi0_droid,pi0_fast_droid
paligemma_fast_specialist_droid,paligemma_vq_droid
paligemma_fast_droid,pi0_droid
paligemma_fast_droid,paligemma_fast_specialist_droid
paligemma_vq_droid,pi0_droid
paligemma_fast_droid,paligemma_binning_droid
paligemma_fast_droid,pi0_droid
pi0_fast_droid,paligemma_fast_droid
pi0_droid,paligemma_vq_droid
paligemma_vq_droid,pi0_droid
pi0_droid,pi0_fast_droid
pi0_droid,paligemma_fast_specialist_droid
paligemma_fast_specialist_droid,paligemma_binning_droid
pi05_droid,pi0_droid
pi0_droid,paligemma_vq_droid
paligemma_fast_droid,paligemma_binning_droid
paligemma_fast_specialist_droid,pi0_droid
paligemma_diffusion_droid,paligemma_binning_droid
