A,B,preference
pi0_droid,paligemma_fast_specialist_droid,0.0
paligemma_vq_droid,paligemma_fast_droid,0.5
pi0_fast_droid,pi0_droid,0.5
paligemma_binning_droid,paligemma_fast_specialist_droid,1.0
pi0_droid,pi05_droid,1.0
pi0_droid,paligemma_vq_droid,0.0
paligemma_binning_droid,paligemma_fast_droid,1.0
paligemma_fast_specialist_droid,pi0_droid,0.0
paligemma_binning_droid,paligemma_diffusion_droid,1.0
paligemma_fast_droid,paligemma_diffusion_droid,1.0
pi0_fast_droid,paligemma_fast_specialist_droid,0.0
pi0_fast_droid,paligemma_fast_droid,0.0
paligemma_fast_specialist_droid,paligemma_vq_droid,0.5
paligemma_diffusion_droid,pi0_fast_droid,0.0
paligemma_binning_droid,paligemma_diffusion_droid,1.0
pi0_fast_droid,paligemma_binning_droid,0.0
paligemma_vq_droid,pi0_droid,1.0
paligemma_diffusion_droid,pi0_droid,0.0
paligemma_fast_specialist_droid,paligemma_binning_droid,0.0
paligemma_binning_droid,paligemma_fast_specialist_droid,1.0
paligemma_binning_droid,paligemma_fast_droid,1.0
paligemma_fast_droid,paligemma_vq_droid,0.5
paligemma_vq_droid,paligemma_fast_droid,1.0
paligemma_fast_droid,pi0_fast_droid,0.0
paligemma_fast_specialist_droid,paligemma_binning_droid,0.0
pi0_droid,pi05_droid,1.0
paligemma_vq_droid,pi0_fast_droid,0.5
paligemma_fast_droid,pi05_droid,1.0
paligemma_fast_droid,pi0_droid,0.0
pi0_droid,paligemma_fast_droid,0.0
paligemma_diffusion_droid,paligemma_vq_droid,0.0
paligemma_diffusion_droid,pi0_droid,0.0
paligemma_diffusion_droid,paligemma_vq_droid,0.5
pi0_fast_droid,paligemma_binning_droid,0.0
paligemma_fast_specialist_droid,paligemma_vq_droid,0.5
paligemma_diffusion_droid,pi0_fast_droid,1.0
paligemma_vq_droid,paligemma_diffusion_droid,0.0
paligemma_fast_droid,pi0_droid,0.5
paligemma_binning_droid,pi0_droid,1.0
paligemma_vq_droid,paligemma_fast_specialist_droid,0.5
pi0_droid,paligemma_fast_specialist_droid,0.0
paligemma_binning_droid,pi0_fast_droid,1.0
paligemma_diffusion_droid,paligemma_fast_droid,1.0
paligemma_vq_droid,paligemma_diffusion_droid,0.0
paligemma_diffusion_droid,pi0_droid,0.0
paligemma_vq_droid,pi0_fast_droid,1.0
pi0_droid,paligemma_binning_droid,0.0
paligemma_diffusion_droid,pi0_droid,0.5
pi0_fast_droid,paligemma_fast_droid,1.0
paligemma_vq_droid,paligemma_diffusion_droid,0.5
paligemma_diffusion_droid,pi0_droid,0.5
paligemma_vq_droid,paligemma_fast_specialist_droid,0.0
paligemma_vq_droid,pi0_fast_droid,0.5
pi0_droid,paligemma_fast_droid,0.0
pi0_droid,paligemma_binning_droid,1.0
paligemma_vq_droid,paligemma_fast_droid,1.0
paligemma_binning_droid,paligemma_fast_droid,1.0
paligemma_fast_specialist_droid,paligemma_diffusion_droid,1.0
pi0_fast_droid,paligemma_vq_droid,1.0
pi0_fast_droid,paligemma_fast_specialist_droid,1.0
paligemma_fast_droid,pi0_fast_droid,1.0
pi0_droid,paligemma_fast_droid,1.0
paligemma_fast_specialist_droid,paligemma_diffusion_droid,1.0
paligemma_binning_droid,paligemma_vq_droid,1.0
paligemma_fast_specialist_droid,paligemma_binning_droid,0.0
paligemma_fast_droid,pi0_fast_droid,1.0
paligemma_vq_droid,pi0_fast_droid,1.0
paligemma_diffusion_droid,paligemma_fast_specialist_droid,0.0
pi0_droid,paligemma_binning_droid,0.0
paligemma_binning_droid,paligemma_fast_droid,1.0
paligemma_diffusion_droid,paligemma_fast_specialist_droid,1.0
paligemma_binning_droid,paligemma_diffusion_droid,1.0
paligemma_vq_droid,pi05_droid,1.0
paligemma_vq_droid,paligemma_fast_droid,1.0
paligemma_fast_specialist_droid,paligemma_vq_droid,0.0
pi0_fast_droid,pi0_droid,1.0
paligemma_vq_droid,paligemma_fast_specialist_droid,0.5
paligemma_fast_droid,pi0_droid,1.0
paligemma_vq_droid,pi05_droid,1.0
paligemma_fast_droid,paligemma_diffusion_droid,0.5
pi05_droid,pi0_droid,0.0
paligemma_diffusion_droid,paligemma_vq_droid,0.5
paligemma_binning_droid,pi0_droid,1.0
paligemma_binning_droid,pi0_droid,1.0
pi0_fast_droid,paligemma_diffusion_droid,1.0
pi0_droid,paligemma_fast_droid,0.0
paligemma_fast_droid,paligemma_vq_droid,1.0
pi0_fast_droid,paligemma_fast_specialist_droid,0.5
paligemma_fast_droid,paligemma_vq_droid,0.0
pi0_droid,pi0_fast_droid,0.0
paligemma_vq_droid,paligemma_fast_specialist_droid,1.0
paligemma_diffusion_droid,paligemma_fast_droid,0.5
paligemma_fast_specialist_droid,paligemma_binning_droid,0.0
pi0_droid,paligemma_fast_specialist_droid,1.0
paligemma_vq_droid,pi0_fast_droid,1.0
pi05_droid,paligemma_binning_droid,0.0
paligemma_fast_specialist_droid,pi0_fast_droid,0.0
pi0_fast_droid,pi0_droid,0.0
paligemma_diffusion_droid,paligemma_fast_specialist_droid,0.0
pi0_fast_droid,paligemma_diffusion_droid,1.0
pi0_droid,pi0_fast_droid,1.0
pi0_fast_droid,paligemma_binning_droid,0.0
paligemma_binning_droid,pi0_fast_droid,1.0
paligemma_vq_droid,paligemma_binning_droid,0.0
paligemma_fast_droid,paligemma_binning_droid,0.0
paligemma_fast_droid,pi0_fast_droid,0.5
pi0_droid,paligemma_diffusion_droid,1.0
paligemma_binning_droid,pi0_fast_droid,1.0
pi0_droid,pi0_fast_droid,1.0
paligemma_binning_droid,pi05_droid,1.0
paligemma_binning_droid,paligemma_diffusion_droid,1.0
paligemma_fast_droid,pi0_fast_droid,0.0
paligemma_binning_droid,paligemma_vq_droid,1.0
pi0_fast_droid,pi05_droid,0.5
paligemma_binning_droid,pi0_droid,1.0
pi0_fast_droid,paligemma_vq_droid,0.0
paligemma_vq_droid,paligemma_diffusion_droid,1.0
paligemma_fast_droid,paligemma_fast_specialist_droid,0.0
paligemma_binning_droid,paligemma_vq_droid,1.0
paligemma_vq_droid,paligemma_fast_droid,0.0
paligemma_vq_droid,paligemma_fast_droid,0.0
pi0_droid,paligemma_fast_specialist_droid,0.5
paligemma_vq_droid,paligemma_fast_specialist_droid,0.5
paligemma_diffusion_droid,paligemma_fast_specialist_droid,1.0
paligemma_binning_droid,paligemma_fast_droid,1.0
paligemma_fast_specialist_droid,paligemma_vq_droid,0.0
pi0_droid,paligemma_binning_droid,0.5
pi0_droid,pi0_fast_droid,0.0
pi0_fast_droid,paligemma_binning_droid,0.0
pi0_droid,paligemma_fast_specialist_droid,1.0
paligemma_fast_specialist_droid,paligemma_binning_droid,0.0
paligemma_fast_specialist_droid,paligemma_diffusion_droid,0.5
paligemma_fast_droid,paligemma_vq_droid,0.0
paligemma_vq_droid,paligemma_diffusion_droid,1.0
paligemma_vq_droid,paligemma_fast_specialist_droid,0.5
pi0_droid,paligemma_fast_specialist_droid,1.0
paligemma_diffusion_droid,paligemma_fast_droid,0.0
pi0_droid,paligemma_fast_specialist_droid,0.0
pi05_droid,pi0_droid,0.0
pi0_droid,paligemma_diffusion_droid,1.0
paligemma_binning_droid,paligemma_diffusion_droid,0.0
pi0_droid,paligemma_fast_droid,1.0
paligemma_binning_droid,paligemma_vq_droid,1.0
pi0_droid,paligemma_binning_droid,0.0
pi0_fast_droid,paligemma_binning_droid,1.0
paligemma_fast_droid,paligemma_diffusion_droid,0.5
paligemma_binning_droid,paligemma_vq_droid,1.0
paligemma_fast_droid,paligemma_vq_droid,1.0
pi05_droid,paligemma_fast_specialist_droid,0.5
paligemma_diffusion_droid,paligemma_vq_droid,1.0
pi0_fast_droid,paligemma_diffusion_droid,1.0
paligemma_vq_droid,paligemma_fast_specialist_droid,0.0
paligemma_diffusion_droid,paligemma_fast_specialist_droid,0.0
pi05_droid,paligemma_binning_droid,0.5
pi0_droid,paligemma_fast_specialist_droid,0.0
pi0_droid,pi0_fast_droid,1.0
pi05_droid,pi0_fast_droid,0.0
paligemma_fast_droid,paligemma_binning_droid,0.0
pi0_fast_droid,paligemma_vq_droid,1.0
paligemma_vq_droid,paligemma_fast_specialist_droid,0.0
paligemma_vq_droid,pi0_fast_droid,0.0
pi0_droid,paligemma_binning_droid,0.0
paligemma_fast_droid,paligemma_diffusion_droid,0.0
paligemma_diffusion_droid,pi0_droid,1.0
paligemma_binning_droid,pi0_fast_droid,1.0
paligemma_binning_droid,pi0_droid,1.0
paligemma_vq_droid,paligemma_binning_droid,1.0
paligemma_binning_droid,paligemma_fast_specialist_droid,1.0
paligemma_fast_droid,pi0_fast_droid,0.0
paligemma_diffusion_droid,paligemma_fast_droid,0.5
paligemma_fast_droid,paligemma_binning_droid,0.0
paligemma_vq_droid,pi0_fast_droid,1.0
paligemma_fast_specialist_droid,pi0_fast_droid,1.0
pi0_fast_droid,pi0_droid,1.0
pi0_droid,paligemma_binning_droid,0.0
pi0_fast_droid,paligemma_binning_droid,0.0
paligemma_fast_specialist_droid,paligemma_fast_droid,1.0
pi0_fast_droid,paligemma_binning_droid,0.0
paligemma_binning_droid,pi0_droid,0.0
pi0_droid,pi05_droid,0.5
pi0_fast_droid,paligemma_diffusion_droid,0.0
pi0_droid,pi0_fast_droid,0.0
paligemma_binning_droid,paligemma_vq_droid,1.0
paligemma_fast_specialist_droid,paligemma_binning_droid,0.0
paligemma_fast_droid,pi0_droid,0.5
paligemma_fast_droid,pi0_droid,1.0
paligemma_diffusion_droid,paligemma_fast_specialist_droid,0.0
paligemma_fast_specialist_droid,paligemma_binning_droid,0.0
paligemma_fast_specialist_droid,paligemma_binning_droid,0.0
paligemma_fast_droid,pi0_droid,0.0
paligemma_fast_droid,paligemma_binning_droid,1.0
pi0_fast_droid,paligemma_diffusion_droid,0.0
pi0_droid,paligemma_fast_droid,1.0
paligemma_binning_droid,paligemma_diffusion_droid,1.0
paligemma_fast_specialist_droid,paligemma_binning_droid,0.0
pi0_droid,pi0_fast_droid,0.0
paligemma_fast_droid,pi0_fast_droid,0.5
paligemma_diffusion_droid,paligemma_vq_droid,0.0
pi0_droid,paligemma_fast_droid,0.0
paligemma_diffusion_droid,paligemma_vq_droid,0.0
pi05_droid,pi0_fast_droid,1.0
paligemma_diffusion_droid,pi0_droid,1.0
pi0_droid,pi05_droid,0.5
paligemma_binning_droid,paligemma_diffusion_droid,1.0
pi0_fast_droid,paligemma_diffusion_droid,0.0
pi0_droid,paligemma_fast_droid,1.0
pi05_droid,paligemma_binning_droid,0.0
paligemma_fast_specialist_droid,paligemma_fast_droid,0.0
paligemma_diffusion_droid,paligemma_vq_droid,0.5
paligemma_vq_droid,paligemma_binning_droid,0.0
paligemma_fast_droid,paligemma_diffusion_droid,0.5
paligemma_vq_droid,paligemma_binning_droid,0.0
pi0_droid,paligemma_fast_droid,0.0
pi0_droid,pi0_fast_droid,1.0
paligemma_fast_droid,paligemma_diffusion_droid,0.0
paligemma_binning_droid,paligemma_vq_droid,1.0
pi0_droid,paligemma_diffusion_droid,1.0
paligemma_diffusion_droid,paligemma_fast_droid,0.5
paligemma_fast_droid,paligemma_vq_droid,1.0
paligemma_diffusion_droid,paligemma_fast_droid,0.0
pi0_droid,paligemma_diffusion_droid,1.0
pi0_droid,paligemma_diffusion_droid,0.0
pi0_fast_droid,pi05_droid,0.5
paligemma_fast_specialist_droid,paligemma_diffusion_droid,0.0
paligemma_vq_droid,pi0_fast_droid,1.0
paligemma_diffusion_droid,pi0_droid,0.0
pi0_droid,paligemma_diffusion_droid,1.0
paligemma_vq_droid,paligemma_diffusion_droid,1.0
paligemma_binning_droid,pi05_droid,1.0
paligemma_vq_droid,pi0_fast_droid,0.5
paligemma_vq_droid,paligemma_fast_specialist_droid,1.0
paligemma_fast_droid,pi0_droid,1.0
paligemma_vq_droid,paligemma_fast_droid,1.0
pi0_droid,paligemma_vq_droid,1.0
paligemma_binning_droid,paligemma_vq_droid,1.0
pi0_fast_droid,pi0_droid,0.0
paligemma_fast_droid,paligemma_fast_specialist_droid,0.5
paligemma_binning_droid,pi0_droid,1.0
pi05_droid,paligemma_fast_droid,1.0
paligemma_binning_droid,paligemma_fast_droid,1.0
pi0_droid,paligemma_vq_droid,1.0
paligemma_vq_droid,pi0_droid,1.0
paligemma_fast_specialist_droid,pi0_droid,0.5
paligemma_binning_droid,pi0_fast_droid,1.0
pi0_droid,pi0_fast_droid,0.0
pi0_fast_droid,paligemma_vq_droid,1.0
paligemma_diffusion_droid,paligemma_fast_droid,0.0
paligemma_fast_specialist_droid,paligemma_fast_droid,0.5
paligemma_diffusion_droid,paligemma_vq_droid,0.0
paligemma_binning_droid,paligemma_fast_droid,1.0
paligemma_diffusion_droid,paligemma_fast_droid,1.0
paligemma_vq_droid,paligemma_diffusion_droid,0.0
paligemma_fast_specialist_droid,paligemma_binning_droid,0.5
paligemma_binning_droid,paligemma_fast_specialist_droid,1.0
paligemma_diffusion_droid,paligemma_binning_droid,0.0
paligemma_binning_droid,pi0_fast_droid,1.0
pi0_droid,paligemma_fast_specialist_droid,1.0
paligemma_diffusion_droid,pi0_fast_droid,1.0
paligemma_binning_droid,paligemma_diffusion_droid,1.0
paligemma_fast_droid,paligemma_vq_droid,1.0
paligemma_vq_droid,paligemma_binning_droid,0.0
pi0_fast_droid,paligemma_diffusion_droid,0.0
paligemma_fast_droid,paligemma_vq_droid,1.0
pi0_droid,paligemma_diffusion_droid,0.0
pi0_droid,paligemma_fast_specialist_droid,1.0
pi0_fast_droid,paligemma_fast_droid,0.0
pi0_droid,paligemma_diffusion_droid,1.0
paligemma_fast_specialist_droid,paligemma_binning_droid,0.0
paligemma_fast_droid,pi0_droid,0.0
paligemma_diffusion_droid,paligemma_fast_specialist_droid,0.0
pi0_droid,pi0_fast_droid,0.0
paligemma_fast_specialist_droid,paligemma_fast_droid,0.0
paligemma_fast_specialist_droid,pi0_fast_droid,0.0
pi0_fast_droid,paligemma_fast_specialist_droid,0.5
paligemma_vq_droid,pi0_droid,1.0
paligemma_binning_droid,pi0_droid,0.5
pi0_droid,paligemma_vq_droid,1.0
paligemma_vq_droid,pi0_droid,1.0
paligemma_binning_droid,pi0_droid,1.0
paligemma_vq_droid,paligemma_diffusion_droid,0.0
paligemma_fast_specialist_droid,paligemma_fast_droid,0.0
paligemma_vq_droid,paligemma_diffusion_droid,0.5
paligemma_vq_droid,paligemma_diffusion_droid,0.5
paligemma_fast_droid,pi0_fast_droid,1.0
paligemma_vq_droid,pi0_droid,0.0
pi05_droid,paligemma_fast_specialist_droid,0.5
paligemma_diffusion_droid,pi0_fast_droid,1.0
paligemma_fast_specialist_droid,pi0_droid,0.5
paligemma_diffusion_droid,pi0_fast_droid,0.0
pi0_droid,paligemma_fast_specialist_droid,1.0
paligemma_fast_specialist_droid,paligemma_fast_droid,0.0
pi0_droid,pi0_fast_droid,1.0
paligemma_fast_droid,paligemma_diffusion_droid,1.0
paligemma_diffusion_droid,paligemma_vq_droid,0.0
paligemma_fast_droid,pi05_droid,0.0
paligemma_diffusion_droid,pi0_fast_droid,0.0
paligemma_binning_droid,pi0_droid,1.0
pi0_droid,paligemma_binning_droid,0.0
paligemma_binning_droid,paligemma_vq_droid,1.0
pi0_droid,paligemma_binning_droid,0.0
paligemma_binning_droid,paligemma_fast_specialist_droid,1.0
paligemma_binning_droid,paligemma_vq_droid,1.0
paligemma_binning_droid,pi0_fast_droid,1.0
paligemma_fast_specialist_droid,paligemma_binning_droid,0.5
paligemma_vq_droid,paligemma_diffusion_droid,0.5
paligemma_fast_specialist_droid,paligemma_diffusion_droid,0.0
pi0_droid,paligemma_fast_specialist_droid,0.0
paligemma_vq_droid,paligemma_binning_droid,0.0
pi0_fast_droid,pi0_droid,0.0
pi05_droid,paligemma_binning_droid,0.0
paligemma_fast_specialist_droid,paligemma_binning_droid,0.0
paligemma_diffusion_droid,paligemma_vq_droid,1.0
paligemma_binning_droid,pi0_droid,1.0
pi0_droid,paligemma_diffusion_droid,0.0
paligemma_diffusion_droid,paligemma_vq_droid,0.5
paligemma_binning_droid,pi05_droid,1.0
paligemma_vq_droid,paligemma_fast_specialist_droid,0.5
paligemma_fast_droid,paligemma_fast_specialist_droid,1.0
paligemma_fast_specialist_droid,paligemma_vq_droid,1.0
paligemma_fast_droid,pi0_droid,1.0
pi0_droid,pi0_fast_droid,0.5
paligemma_vq_droid,paligemma_fast_specialist_droid,0.0
pi0_fast_droid,paligemma_binning_droid,1.0
pi0_droid,paligemma_diffusion_droid,0.5
paligemma_diffusion_droid,paligemma_binning_droid,0.0
paligemma_diffusion_droid,pi0_droid,1.0
pi0_fast_droid,paligemma_vq_droid,1.0
paligemma_binning_droid,pi0_fast_droid,1.0
paligemma_vq_droid,paligemma_fast_droid,0.0
pi0_droid,paligemma_binning_droid,0.0
pi0_fast_droid,paligemma_binning_droid,0.0
paligemma_diffusion_droid,paligemma_fast_droid,0.0
paligemma_diffusion_droid,pi0_droid,1.0
pi0_droid,paligemma_fast_specialist_droid,1.0
paligemma_fast_specialist_droid,paligemma_diffusion_droid,1.0
paligemma_vq_droid,paligemma_diffusion_droid,0.5
paligemma_vq_droid,paligemma_fast_specialist_droid,0.5
paligemma_fast_droid,paligemma_fast_specialist_droid,1.0
paligemma_fast_droid,paligemma_fast_specialist_droid,1.0
paligemma_vq_droid,paligemma_fast_specialist_droid,1.0
paligemma_binning_droid,paligemma_vq_droid,1.0
paligemma_vq_droid,pi0_fast_droid,0.0
pi0_droid,pi0_fast_droid,1.0
paligemma_vq_droid,pi0_fast_droid,1.0
paligemma_diffusion_droid,pi0_fast_droid,0.5
pi0_droid,paligemma_binning_droid,0.0
pi0_fast_droid,paligemma_fast_droid,0.0
paligemma_diffusion_droid,paligemma_vq_droid,0.0
paligemma_binning_droid,paligemma_diffusion_droid,1.0
pi0_droid,pi0_fast_droid,1.0
paligemma_binning_droid,paligemma_fast_specialist_droid,1.0
paligemma_vq_droid,paligemma_fast_specialist_droid,1.0
paligemma_vq_droid,pi05_droid,1.0
paligemma_fast_specialist_droid,pi0_droid,0.5
pi0_droid,paligemma_fast_droid,1.0
pi0_droid,paligemma_vq_droid,0.5
pi0_droid,paligemma_vq_droid,1.0
paligemma_fast_droid,paligemma_fast_specialist_droid,0.0
paligemma_vq_droid,paligemma_fast_specialist_droid,1.0
paligemma_diffusion_droid,pi0_fast_droid,1.0
paligemma_fast_droid,pi0_fast_droid,1.0
paligemma_fast_specialist_droid,paligemma_fast_droid,1.0
paligemma_fast_specialist_droid,pi0_droid,0.5
paligemma_fast_droid,pi0_droid,1.0
pi0_droid,paligemma_fast_droid,0.5
pi0_droid,pi0_fast_droid,1.0
pi0_fast_droid,paligemma_vq_droid,0.0
paligemma_diffusion_droid,paligemma_vq_droid,0.5
pi0_droid,paligemma_fast_droid,0.0
paligemma_diffusion_droid,paligemma_fast_specialist_droid,1.0
pi05_droid,paligemma_diffusion_droid,0.0
paligemma_diffusion_droid,pi0_fast_droid,0.0
paligemma_diffusion_droid,paligemma_fast_specialist_droid,1.0
paligemma_fast_droid,pi0_droid,1.0
paligemma_vq_droid,paligemma_fast_droid,0.5
paligemma_fast_droid,pi0_droid,0.0
paligemma_vq_droid,pi0_fast_droid,0.0
pi0_fast_droid,paligemma_diffusion_droid,0.0
paligemma_fast_droid,paligemma_fast_specialist_droid,1.0
paligemma_vq_droid,paligemma_diffusion_droid,0.0
paligemma_fast_droid,paligemma_diffusion_droid,0.0
pi0_fast_droid,paligemma_diffusion_droid,0.0
paligemma_fast_droid,pi0_fast_droid,0.0
pi0_droid,paligemma_diffusion_droid,1.0
paligemma_fast_droid,pi0_droid,1.0
paligemma_binning_droid,pi0_droid,1.0
pi0_fast_droid,pi0_droid,1.0
pi0_droid,paligemma_fast_droid,0.5
paligemma_fast_droid,pi0_fast_droid,1.0
pi0_fast_droid,pi0_droid,0.5
paligemma_diffusion_droid,paligemma_fast_specialist_droid,0.5
paligemma_fast_droid,pi0_droid,1.0
pi0_fast_droid,paligemma_diffusion_droid,0.0
paligemma_diffusion_droid,paligemma_fast_droid,0.0
pi0_droid,pi05_droid,0.5
paligemma_fast_droid,paligemma_diffusion_droid,1.0
paligemma_diffusion_droid,pi0_droid,0.5
paligemma_vq_droid,paligemma_diffusion_droid,0.0
pi0_droid,paligemma_fast_specialist_droid,0.0
